epoch,loss,sce,mse,lambda_ce,lr,grad_norm
0,7.797939,7.797939,0,1,0.00025,7.260902
1,7.6453786,7.6453786,0,1,0.0005,7.5098963
2,7.4265633,7.4265633,0,1,0.0005,10.007668
3,7.10073,7.10073,0,1,0.0004828729,30.306883
4,6.9712124,6.9712124,0,1,0.00043409906,38.282757
5,7.2764177,7.2764177,0,1,0.00036110377,31.375328
6,7.115644,7.115644,0,1,0.000275,33.600307
7,6.808175,6.808175,0,1,0.00018889621,27.73112
8,6.645998,6.645998,0,1,0.000115900984,33.90108
9,6.583082,6.583082,0,1,0.00006712709,36.907696
