epoch,loss,sce,mse,lambda_ce,lr,grad_norm,val_loss,val_sce,val_mse
0,11.119727,11.119727,0,1,0.00003125,257.73282,10.851941,10.851941,0
1,9.970693,9.970693,0,1,0.0000625,1261.5719,9.517874,9.517874,0
2,8.882223,8.882223,0,1,0.00009375,1854.6277,8.883438,8.883438,0
3,8.340314,8.340314,0,1,0.000125,1249.4935,8.166734,8.166734,0
4,7.850814,7.850814,0,1,0.00015625001,1457.9713,7.745294,7.745294,0
5,7.325222,7.325222,0,1,0.0001875,2325.9846,7.6530476,7.6530476,0
6,7.3882465,7.3882465,0,1,0.00021875,2415.8464,7.5285125,7.5285125,0
7,7.044657,7.044657,0,1,0.00025,2268.999,7.280693,7.280693,0
8,6.7236905,6.7236905,0,1,0.00028125002,2179.9033,7.111199,7.111199,0
9,6.538039,6.538039,0,1,0.00031250002,1752.3751,7.0239015,7.0239015,0
10,6.3513937,6.3513937,0,1,0.00034375003,1569.9868,6.865311,6.865311,0
11,6.1614113,6.1614113,0,1,0.000375,2357.2737,6.2690234,6.2690234,0
12,6.123516,6.123516,0,1,0.00040625,2993.7808,7.0405807,7.0405807,0
13,6.018124,6.018124,0,1,0.0004375,2525.4548,6.45495,6.45495,0
14,5.808404,5.808404,0,1,0.00046875002,2328.167,6.2191386,6.2191386,0
15,5.5877194,5.5877194,0,1,0.0005,2235.554,5.9491024,5.9491024,0
16,5.382827,5.382827,0,1,0.0005,2696.7378,6.472275,6.472275,0
17,5.2046394,5.2046394,0,1,0.0004998427,3312.5916,6.140016,6.140016,0
18,5.0718446,5.0718446,0,1,0.00049937086,4047.7869,6.364311,6.364311,0
19,4.9525237,4.9525237,0,1,0.0004985853,3899.731,5.816824,5.816824,0
20,4.8382363,4.8382363,0,1,0.00049748697,5357.6895,5.575392,5.575392,0
21,4.7006063,4.7006063,0,1,0.00049607747,5457.391,5.926884,5.926884,0
22,4.557399,4.557399,0,1,0.0004943588,4221.0903,5.8208313,5.8208313,0
23,4.4233904,4.4233904,0,1,0.0004923333,5368.2925,4.511578,4.511578,0
24,4.2893124,4.2893124,0,1,0.0004900039,5671.7007,5.600743,5.600743,0
25,4.1898355,4.1898355,0,1,0.0004873738,6456.7285,5.2563004,5.2563004,0
26,4.0640464,4.0640464,0,1,0.00048444662,6638.523,5.452433,5.452433,0
27,3.9682686,3.9682686,0,1,0.00048122654,8217.815,4.829515,4.829515,0
28,3.8927233,3.8927233,0,1,0.00047771801,9740.359,5.465635,5.465635,0
29,3.7891204,3.7891204,0,1,0.000473926,8213.841,5.134556,5.134556,0
30,3.7195153,3.7195153,0,1,0.00046985576,8071.059,5.091867,5.091867,0
31,3.6351082,3.6351082,0,1,0.00046551297,9995.894,5.1728654,5.1728654,0
32,3.5154138,3.5154138,0,1,0.00046090374,7886.568,4.7000623,4.7000623,0
33,3.4379032,3.4379032,0,1,0.00045603453,9221.988,5.2828093,5.2828093,0
34,3.3323388,3.3323388,0,1,0.0004509121,11588.967,4.823555,4.823555,0
35,3.3081648,3.3081648,0,1,0.00044554367,13728.643,5.6688094,5.6688094,0
36,3.196673,3.196673,0,1,0.00043993667,12235.063,4.618614,4.618614,0
37,3.1823437,3.1823437,0,1,0.00043409906,11983.01,4.182075,4.182075,0
38,3.0776646,3.0776646,0,1,0.00042803888,12926.587,5.5867863,5.5867863,0
39,3.0194287,3.0194287,0,1,0.0004217647,12389.373,4.5644183,4.5644183,0
40,2.9669223,2.9669223,0,1,0.00041528523,12326.8125,4.67919,4.67919,0
41,2.8628511,2.8628511,0,1,0.00040860954,12411.567,4.7813706,4.7813706,0
42,2.8274438,2.8274438,0,1,0.00040174703,13577.042,5.080207,5.080207,0
43,2.7678823,2.7678823,0,1,0.00039470723,14816.037,3.8586597,3.8586597,0
